id,title,role,constituent,classification,medium,date
70568,Kneeling and Standing Apkallu-figures Fertilize the Sacred Tree,Culture,Assyrian,Sculpture,Gypsum stone,ca. 883-859 B.C.E.
70569,Apkallu-figure,Culture,Assyrian,Sculpture,"Gypsum stone, pigment",ca. 883-859 B.C.E.
70570,Apkallu-figure,Culture,Assyrian,Sculpture,"Gypsum stone, pigment",ca. 883-859 B.C.E.
70571,Apkallu-figure,Culture,Assyrian,Sculpture,"Gypsum stone, pigment",ca. 883-859 B.C.E.
70572,Sacred Tree,Culture,Assyrian,Sculpture,Gypsum stone,ca. 883-859 B.C.E.
70573,Apkallu-figure Fertilizing the Sacred Tree,Culture,Assyrian,Sculpture,Gypsum stone,ca. 883-859 B.C.E.
70574,Apkallu-figure Fertilizing the Sacred Tree,Culture,Assyrian,Sculpture,Gypsum stone,ca. 883-859 B.C.E.
70575,Apkallu-figure Wearing Fancy Bracelets,Culture,Assyrian,Sculpture,Gypsum stone,ca. 883-859 B.C.E.
70576,Apkallu-figure,Culture,Assyrian,Sculpture,Gypsum stone,ca. 883-859 B.C.E.
70577,Apkallu-figure and King Ashur-nasir-pal II,Culture,Assyrian,Sculpture,"Gypsum stone, pigment",ca. 883-859 B.C.E.
76820,Engraved Conch Shell,Culture,Mississippian,Vessel,"Conch shell, pigment",1200-1500 C.E.
86005,Tetrapod Bowl with Lid,Culture,Maya,Vessel,"Ceramic, pigment",350-450
97682,Pair of Crossbow Mounts,,,Arms and Armor,"Bronze, inlaid with silver",770-256 B.C.E.
102325,Vase,Maker,George E. Ohr,Ceramic,Glazed earthenware,ca. 1900
112519,Baby Oil Pourer,Maker,Eva Zeisel,Ceramic,Glazed earthenware,ca. 1940
115769,"Salt or Pepper Shaker, One of Pair",Maker,Tiffany & Company,Food/Drink,"Silver, turquoise",ca. 1907
116772,Seated Statue of Nakhtsaes,,,Sculpture,"Limestone, pigment",ca. 2371–2298 B.C.E.
116784,"Coffin of the Lady of the House, Weretwahset, Reinscribed for Bensuipet Containing Face Mask and Openwork Body Covering",,,Funerary Object,"Wood, pigment (fragments a, b); Cartonnage, wood (fragment c); Cartonnage (fragment d)
",ca. 1292-1190 B.C.E.
116840,Sa-ese Grinding Grain,,,Sculpture,Bronze,ca. 1390-1352 B.C.E.
124142,Flask,Maker,The Napier Company,Food/Drink,Sterling silver and cork,1925-1930
149031,Cizhou Ware Pillow in the Form of a Tiger,,,Ceramic,"Cizhou ware, earthenware, painted slip decoration with transparent glaze",1182
156762,Funerary Figure,,,Funerary Object,"Wood, traces of textile and polychrome decoration",3rd-2nd century B.C.E.
157684,"Salt or Pepper Shaker, One of Pair",Maker,Tiffany & Company,Food/Drink,"Silver, turquoise",ca. 1907
194065,Cartonnage and Mummy of an Anonymous Man,,,"Remains, Human","Human remain, wood (Ficus sycomorus, sycomore fig), grass, linen, plaster, pigment",3rd century C.E.
215686,Clock,Maker,Daniel Cottier,"Time, Calendar","Mahogany, brass, other metals, glass",1883
224830,Vessel,Artist,Suzuki Osamu,Vessel,Glazed porcelain,ca. 1960
162,"Mrs. Alexander Cumming, née Elizabeth Goldthwaite, later Mrs. John Bacon",Artist,John Singleton Copley,Painting,Oil on canvas,1770
168,Winter Scene in Brooklyn,Artist,Francis Guy,Painting,Oil on canvas,ca. 1819-1820
459,The Sisters,Artist,Abbott H. Thayer,Painting,Oil on canvas,1884
611,Shooting for the Beef,Artist,George Caleb Bingham,Painting,Oil on canvas,1850
624,Pier Table,Maker,Charles-Honoré Lannuier,Furniture,"Marble, rosewood, ormolu, gesso",ca. 1815-1819
697,Moonlight,Artist,Ralph Albert Blakelock,Painting,Oil on canvas,ca. 1885-1889
1171,Virgin of Quito,Artist,Unknown,Sculpture,Polychromed wood and silver,second half 18th century
1246,Armchair,,,Furniture,"Mahogany, upholstery",1750-1800
1252,Mrs. Sylvester (Abigail Pickman) Gardiner,Artist,John Singleton Copley,Painting,Oil on canvas,ca. 1772
1290,Still Life with Fruit,Artist,Severin Roesen,Painting,Oil on canvas,ca. 1860
2301,"Capac Yupanqui, Fifth Inca, 1 of 14 Portraits of Inca Kings",Artist,Unknown,Painting,Oil on canvas,mid-18th century (probably)
2305,"Urco, Ninth Inca, 1 of 14 Portraits of Inca Kings",Artist,Unknown,Painting,Oil on canvas,mid-18th century (probably)
2378,Cane,Culture,American,Accessories,"Wood, metal",1865-1900
2458,Meat Slicer,Designer,Egmont Arens,Food/Drink,"Steel, aluminum, rubber, electrical wiring",ca. 1935
2983,Figure of a Mother Holding a Child  (Lupingu lwa Cibola),Culture,Lulua,Sculpture,"Wood, copper alloy, palm oil, tukula, organic materials",19th century
3603,Ptolemaic Prince,,,Sculpture,Quartzite,51-30 B.C.E.
3606,Alexander the Great,,,Sculpture,Marble,100 B.C.E. – 100 C.E.
3684,Cippus of Horus on the Crocodiles,,,Sculpture,Steatite,3rd century B.C.E.
3685,Head of a Kushite Ruler,Culture,Egyptian,Sculpture,Green schist,ca. 716-702 B.C.E.
3799,Head of a Queen,,,Sculpture,Marble,305-30 B.C.E.
3801,Stela of Pakhaas,,,Sculpture,"Limestone, pigment",2nd-1st century B.C.E.
3805,Nefertiti,,,Sculpture,"Limestone, pigment",ca. 1352-1336 B.C.E.
3813,Mummy Mask of a Man,,,Sculpture,"Stucco, gold leaf, pigment",early 1st century C.E.
4007,Handle of a Fly Whisk (?) in the Form of Bound Nubian,Culture,Egyptian,Accessory,Wood,ca. 1539-1292 B.C.E.
4027,The Goddess Hathor,,,Sculpture,"Bronze, gold, electrum",ca. 664-30 B.C.E. or later
4174,Illustrated Papyrus,,,Document,"Papyrus, pigment, ink",4th-3rd century B.C.E.
4225,Female Figure,,,Sculpture,"Clay, pigment",ca. 3500-3400 B.C.E.
4393,"Portrait of Mlle Fiocre in the Ballet ""La Source"" (Portrait de Mlle...E[ugénie] F[iocre]: à propos du ballet ""La Source"")",Artist,Edgar Degas,Painting,Oil on canvas,ca. 1867-1868
4651,Baleen Whale Mask,Culture,Kwakwaka'wakw,Masks,"Cedar wood, hide, cotton cord, nails, pigment",19th century
4791,"Ndop figure depicting Nyim Mbó Mbóosh (r. ca. 1650), Nyim Mishé miShyááng máMbúl (r. ca. 1710), or Nyim Kot áNée (r. ca. 1740)",Culture,Kuba (Bushoong subgroup),Sculpture,"Wood (Crossopteryx febrifuga), tukula, fiber",ca. 1760-1780
4822,Prince Yahya,Artist,Muhammad Hasan,Painting,Oil on canvas,ca. 1830s
19432,Thunderbird Transformation Mask,Artist,Namgis,Masks,"Cedar, pigment, leather, nails, metal plate",19th century
44886,Figure of a Man,,,Sculpture,"Terracotta, pigment",ca. 3500-3300 B.C.E.
