id,title,role,constituent,classification,medium,date
65302,Kneeling One (Kniende),Artist,Karl Schmidt-Rottluff,Print,Woodcut on laid paper,1914
66610,Relief Blocks from the Tomb of the Vizier Nespeqashuty,,,Sculpture,Limestone,ca. 664-610 B.C.E.
66613,Relief Blocks from the Tomb of the Vizier Nespeqashuty,,,Sculpture,Limestone,ca. 664-610 B.C.E.
66617,Relief Blocks from the Tomb of the Vizier Nespeqashuty,,,Sculpture,Limestone,ca. 664-610 B.C.E.
67993,Vessel Handle in Form of Ibex,Culture,Achaemenid,Vessel,Silver,ca. 410 B.C.E.
67994,Vessel Handle in Form of Lion,Culture,Achaemenid,Vessel,Silver,ca. 410 B.C.E.
95646,Gandhara Lintel Frieze,,,Sculpture,Grey Schist,ca. 3rd century
97886,Corner Cabinet,Designer,Emile-Jacques Ruhlmann,Furniture,"Kingwood (amaranth) veneer on mahogany, ivory inlay",ca. 1923
99459,Bowl,Culture,Mimbres,Vessel,"Clay, pigment",550-1150 C.E.
104489,Bowl,,,Vessel,White nephrite,18th century
116432,Standing Female,Culture,Taxila,Sculpture,Terracotta,1st century C.E.
117263,Comb Surmounted by Four Knobs,,,Cosmetic,Wood,ca. 1539-1292 B.C.E.
118038,Coffin Texts from the Tomb of Harhotep,,,Sculpture,"Limestone, pigment",ca. 2008–1630 B.C.E.
118058,Fragment of Cartonnage from Breast of Mummy,,,Funerary Object,"Cartonnage, pigment",ca. 945-656 B.C.E.
122250,Lady's Writing Desk,Maker,R.J. Horner & Company,Furniture,"bird's-eye maple, silvered glass, leather",late 19th century
124182,Jar with Double Handles,,,Vessel,Jun-ware porcelain (porcellaneous stoneware),1115-1368
126506,Standing Hippopotamus,,,Sculpture,Faience,ca. 1938-1539 B.C.E.
147010,Stubborn (Hartnäckig),Artist,Vasily Kandinsky,Painting,Oil on paperboard,1929
147265,Glasses and Architectures (Verres et architectures),Artist,André Masson,Painting,Oil on canvas,1924
148124,Throne Leg,,,Furniture,Ivory with traces of polychrome,17th century
154419,Seated Tara,,,Sculpture,Black schist,9th century
157687,"""Skyscraper"" Hand Mirror, Apollo Studios Line",Designer,Louis W. Rice,Cosmetic,"Silver-plated metal, glass, gilding, enamel",ca. 1928
159971,Mythical Figure,,,Sculpture,"Wood, horn, lacquer, and polychrome",5th-3rd century B.C.E.
163344,Plaque of a Ram,,,Ornament,Silver,618-907
163792,Woman in Gray (Femme en gris),Artist,Pablo Picasso,Painting,Oil on panel,1942
166917,The Empty City: Fragrant Creek,Artist,Yun-Fei Ji,Watercolor,"Mineral pigments on xuan paper
Use for wall label:  Watercolor on paper



",2003
169383,"Plate, Eva",Designer,Piero Fornasetti,Ceramic,Glazed earthenware,ca. 1954
169384,"Plate, Eva",Designer,Piero Fornasetti,Ceramic,Glazed earthenware,ca. 1954
169385,"Plate, Eva",Designer,Piero Fornasetti,Ceramic,Glazed earthenware,ca. 1954
169386,"Plate, Eva",Designer,Piero Fornasetti,Ceramic,Glazed earthenware,ca. 1954
169387,"Plate, Eva",Designer,Piero Fornasetti,Ceramic,Glazed earthenware,ca. 1954
169388,"Plate, Eva",Designer,Piero Fornasetti,Ceramic,Glazed earthenware,ca. 1954
169389,"Plate, Eva",Designer,Piero Fornasetti,Ceramic,Glazed earthenware,ca. 1954
169390,"Plate, Eva",Designer,Piero Fornasetti,Ceramic,Glazed earthenware,ca. 1954
169391,"Plate, Eva",Designer,Piero Fornasetti,Ceramic,Glazed earthenware,ca. 1954
169392,"Plate, Eva",Designer,Piero Fornasetti,Ceramic,Glazed earthenware,ca. 1954
169394,"Plate, Eva",Designer,Piero Fornasetti,Ceramic,Glazed earthenware,ca. 1954
189180,"""Chinese Argument"" Figural Group",Designer,Karl L. H. Mueller,Ceramic,Porcelain,ca. 1882
199027,Easy Chair (Butaca),Maker,Unknown,Furniture,"Mahogany, cane",second quarter 19th century
208765,Reliquary in the Shape of a Stupa,,,Commemorative,Silver,986 C.E.
209309,Hacienda La Fortuna,Artist,Francisco Oller,Painting,Oil on canvas,1885
224183,"Dish in the Shape of a Leaf, Part of a Set of 6",Artist,Hamanaka Gesson,Vessel,Glazed stoneware with kinyo copper glaze,2006
26,Meadow Flowers (Golden Rod and Wild Aster),Artist,John Henry Twachtman,Painting,Oil on canvas,ca. 1892
28,Studio Interior,Artist,William Merritt Chase,Painting,Oil on canvas,ca. 1882
64,"The Old Blue-Tiled Mosque, outside Delhi, India",Artist,Edwin Lord Weeks,Painting,Oil on canvas,ca. 1885
115,Derwentwater,Artist,Sanford Robinson Gifford,Painting,Oil on canvas,1856
262,Replica of the Winged Figure from the Robert Gould Shaw Memorial,Artist,Augustus Saint-Gaudens,Sculpture,Gilded bronze,1884-1897
272,The Sand Cart,Artist,George Wesley Bellows,Painting,Oil on canvas,1917
278,On the Heights,Artist,Charles Courtney Curran,Painting,Oil on canvas,1909
420,In the Mountains,Artist,Winslow Homer,Painting,Oil on canvas,1877
450,George Washington,Artist,Charles Willson Peale,Painting,Oil on canvas,1776
467,Copalli,Artist,Diego Rivera,Painting,Oil on canvas,1937
469,Louisiana Rice Fields,Artist,Thomas Hart Benton,Painting,Egg tempera and oil on Masonite,1928
492,Caught Napping (Boys Caught Napping in a Field),Artist,William Sidney Mount,Painting,Oil on canvas,1848
496,Not at Home,Artist,Eastman Johnson,Painting,Oil on laminated paperboard,ca. 1873
507,Tray (Grover Cleveland & Thomas Hendricks),,,Commemorative,Glass,ca. 1884
530,Mug (Abraham Lincoln & James Garfield),,,Commemorative,Glass,ca. 1881
609,Street Scene (Hester Street),Artist,George Benjamin Luks,Painting,Oil on canvas,1905
657,Sofa,Maker,Unknown,Furniture,"Mahogany, veneer, marble, gilt bronze, modern upholstery",ca. 1830
696,Kero Cup,Culture,Quechua,Vessel,Wood with pigment inlay,late 17th-18th century
711,The Bowl,Artist,Reginald Marsh,Painting,Egg tempera on pressed wood panel,1933
743,Vase,Maker,Charles Volkmar,Ceramic,Earthenware,ca. 1881
744,Vase,Maker,Charles Volkmar,Ceramic,Earthenware,1881
748,Reflections,Artist,John Henry Twachtman,Painting,Oil on canvas,ca. 1893-1894
965,Clarissa Seymour (later Mrs. Truman Marsh),Artist,Ralph Earl,Painting,Oil on canvas,1789
971,The Money Diggers,Artist,John Quidor,Painting,Oil on canvas,1832
987,Incantation,Artist,Charles Sheeler,Painting,Oil on canvas,1946
1353,Job Hunters,Artist,Maurice Kish,Painting,Oil on canvas,1932-1933
1452,Kiss Me and You'll Kiss the 'Lasses,Artist,Lilly Martin Spencer,Painting,Oil on canvas,1856
1518,David Levine,Artist,Laura Ziegler,Sculpture,"Ceramic, glaze, wood stain",1974
1558,"A Storm in the Rocky Mountains, Mt. Rosalie",Artist,Albert Bierstadt,Painting,Oil on canvas,1866
1629,Bust of Marsden Hartley,Artist,Jacques Lipchitz,Sculpture,"Bronze, wood base",1942
1639,The Judgement,Artist,Bob Thompson,Painting,Oil on canvas,1963
1643,"Natural Bridge, Virginia",Artist,John Henry Hill,Watercolor,"Watercolor over graphite on very thick, slightly textured wove paper mounted to a secondary paper",1876
1822,Angel,Artist,William Edmondson,Sculpture,Limestone,n.d.
1892,DCM (Dining Chair Metal),Designer,Charles Eames,Furniture,"Birch plywood, metal",Designed 1946
1926,Niagara,Artist,Louis Rémy Mignot,Painting,Oil on canvas,1866
2093,End of Juanita,Artist,Yasuo Kuniyoshi,Painting,Oil on canvas,1942
2094,Synchromy No. 3,Artist,Stanton Macdonald-Wright,Painting,Oil on canvas,1917
2825,Rocky Shore,Artist,Worthington Whittredge,Painting,Oil on canvas,1867
3002,Amulet Box,,,Container,"Gold, polychrome enamel, and repoussé decoration",19th century
3268,Palette with Double Bird Head,,,Cosmetic,"Graywacke, shell, faience, limestone, garnet",ca. 3300-3000 B.C.E.
3273,Beaded Necklace,,,Jewelry,"Shell, faience, clay",ca. 3300-3100 B.C.E.
3274,Beaded Necklace,,,Jewelry,"Shell, faience, carnelian, limestone, lapis lazuli",ca. 3300-3100 B.C.E.
3321,Broad Collar,,,Sculpture,"Wood, gesso, glass",205-180 B.C.E.
3388,Hippo,,,Sculpture,Faience,ca. 1938-1539 B.C.E.
3526,Floral Inlay,,,Ornament,Faience,ca. 1352-1336 B.C.E.
3554,"Block Statue of Harsiese, a Priest of Amun and Min",Culture,Egyptian,Sculpture,Basalt,ca. 712-653 B.C.E.
3561,Calf Bearer,Culture,Graeco-Egyptian,Sculpture,Faience or glass,4th-3rd century B.C.E.
3580,Glazed Tile with Palms,,,Tiles,Faience,ca. 1352-1336 B.C.E.
3631,Statuette of a Soldier,Culture,Egyptian,Sculpture,"Wood, pigment",ca. 1390-1353 B.C.E.
3637,An Eternal Bouquet for the Dead,,,Sculpture,"Limestone, pigment",4th century B.C.E.
3641,Erotic Composition,,,Sculpture,"Limestone, pigment",305-30 B.C.E.
3657,Head of the God Osiris,,,Sculpture,"Wood, bronze, glass, gold leaf",305-30 B.C.E.
3659,Ring with Protective Inscription,,,Jewelry,Gold with copper overlays,ca. 664-342 B.C.E.
3731,Fragment of a Jubilee Scene,,,Sculpture,"Sandstone, pigment",ca. 1352-1347 B.C.E.
3733,Early Image of Nefertiti,,,Sculpture,"Sandstone, pigment",ca. 1352-1347 B.C.E.
3741,Head of a Queen,,,Sculpture,Quartzite,ca. 1479-1425 B.C.E.
3745,A Prince of Tekhet,Culture,Egyptian,Sculpture,Limestone,ca. 1479-1400 B.C.E.
3758,Head of a God,,,Sculpture,Metamorphic stone,ca. 1390-1353 B.C.E.
3779,Bust from a Seated Statue,,,Sculpture,Granite,ca. 1353-1336 B.C.E.
3780,Statuette of a Kushite King,Culture,Egyptian,Sculpture,"Bronze, gold leaf",ca. 712-653 B.C.E.
3840,Standing Yakusa,,,Sculpture,Bronze,8th century
3851,"Palette in the Form of a Bird, Perhaps a Guinea Fowl",,,Cosmetic,"Graywacke, shell or bone, black paste",ca. 3500-3300 B.C.E.
3853,The Goddess Mut,,,Sculpture,Schist,ca. 664-525 B.C.E.
3889,Striding Figure of a Kushite King,Culture,Egyptian,Sculpture,Bronze,ca. 712-653 B.C.E.
3894,Plaque Depicting Episodes from the Life of Shakyamuni Buddha,,,Sculpture,Pyrophyllite,12th century
3907,Men from a Scene of Music and Games,Culture,Egyptian,Sculpture,"Limestone, pigment",ca. 670-650 B.C.E.
3953,Sketch of Osiris,,,Drawing,"Limestone, pigment",305-30 B.C.E.
3961,Set of Gaming Pieces,,,"Recreation, Toys, Games",Faience,ca. 1539-1295 B.C.E.
4045,Scarab of Thutmose III,,,Document,"Steatite, glaze","ca. 1479-1425 B.C.E., or later"
4060,Furniture Attachment (?) in Form of Bound Prisoner,Culture,Egyptian,Accessory,Wood,ca. 1539-1292 B.C.E.
4079,Hair Curler in the Form of  a Woman,Culture,Egyptian,Cosmetic,Bronze,ca. 1539-1292 B.C.E.
4117,Whip Handle Inscribed with Cartouche of Amunhotep IV,,,Tool,"Wood, pigment?",ca. 1539-1292 B.C.E.
4124,Amulet of the Deity Heh Holding Signs for Millions of Years,,,Accessory,Faience,ca. 945-718 B.C.E.
4164,Offering Table of Neferka,,,Sculpture,Limestone,ca. 2500-2170 B.C.E.
4217,Jar with Squat Body,,,Vessel,"Clay, pigment",ca. 1400-1390 B.C.E.
4244,Relief of the God Ptah,,,Sculpture,Stucco,4th-3rd century B.C.E.
4261,Royal Head,,,Sculpture,"Limestone, pigment",ca. 1352-1332 B.C.E.
4269,Female Figurine,Culture,Nubian,Sculpture,"Terracotta, pigment",ca. 3500-3100 B.C.E.
4323,Vase with Floral Decoration,,,Vessel,Stoneware with slip and lead glaze,960-1279 C.E.
4771,Tea Table,Designer,Carlo Mollino,Furniture,"Maple plywood, glass, brass",ca. 1949
4936,Ledger Book Drawing,Culture,Cheyenne,Drawing,"Ink, crayon, paper",ca. 1890
4979,Tile,Culture,Hopi Pueblo,Tiles,"Clay, slip",late 19th-early 20th century
5000,Panoramic Landscape (Paysage panoramique),Artist,Théodore Rousseau,Painting,Oil on paper mounted on canvas,ca. 1831-1834
5016,Guardian of the Sea,Artist,Preston Singletary,Sculpture,Glass,2004
16148,Sikyatki Bowl,Culture,Hopi Pueblo,Vessel,"Ceramic, slip",1400-1625
21678,Gilt Figure of Marichi,,,Sculpture,Bronze with traces of gilding,18th century
22914,The Village of Gardanne (Le Village de Gardanne),Artist,Paul Cézanne,Painting,Oil and conté crayon on canvas,1885-1886
25540,Palace Painting,,,Painting,"Mud, pigment",ca. 1352-1336 B.C.E.
31498,Still Life,Artist,Alma Hirsig Bliss,"Portrait, Miniatures",Watercolor painting in brass frame under glass,1930
31506,Girl in Green,Artist,Rosina Cox Boardman,"Portrait, Miniatures",Watercolor on ivory portrait in gilded wood frame under glass,n.d.
31510,Jane,Artist,Elsie Dodge Pattee,"Portrait, Miniatures",Watercolor on porcelain portrait in wooden frame with metal liner under glass,ca. 1928
31513,Mae Olson,Artist,Eda Nemoede Casterton,"Portrait, Miniatures",Watercolor on ivory in brass frame under glass,1906
37208,Unfinished Portrait of Nefertiti,,,Sculpture,"Limestone, pigment",ca. 1352-1336 B.C.E
45621,Sculptor's Trial Piece of Nefertiti,,,Sculpture,Limestone,ca. 1352-1332 B.C.E.
46269,Vessel with Two Fishermen in a Reed Boat,Culture,Chimú,Vessel,Ceramic,1100-1470
46293,Fox Runner Effigy Vessel,Culture,Moche,Vessel,"Ceramic, pigments",ca. 400-700
50452,Square Dish,Potter,Ogata Kenzan,Ceramic,Earthenware with underglaze iron-oxide painted decoration,1710-1730
53789,Lienzo of Ihuitlan,,,Textile,Dye pigments and inks on cotton,mid-16th century
62603,Inlay Figure of a King in Four Pieces,,,Ornament,"Glass, gold leaf",305-30 B.C.E.
63426,Chief's War Shirt,Culture,Sioux,Clothing,"Buckskin, dye, pigment, glass beads, porcupine quills, maidenhair fern stems, sinew",early 19th century
97173,Illustrated Manuscript of the Dala'il al-Khayrat (The Ways of Edification) of al-Jazuli,,,Book,"Ink, opaque watercolor, and gold on paper; tooled and gilded leather binding",late 18th century
100064,Shaman's Charm or Soul Catcher,Culture,Tlingit,Ceremonial,"Bone or Ivory, abalone shell",late 19th or early 20th century
100864,Winged Dragon Chimera,Artist,Unknown,Architectural Element,Limestone,ca. 1900
103226,Butterfly Bannerstone,,,Sculpture,Stone,4000-2000 B.C.E.
106555,Tea Ceremony Fresh Water Jar (Mizusashi),,,Vessel,"Stoneware with ash glaze; Iga ware
Lid in lacquered wood",late 16th-early 17th century
112944,Nativity Scene: The Birth of the Buddha,,,Sculpture,Gray schist,9th century
115954,Head and Torso of a Buddha,,,Sculpture,Bronze,14th century
118297,"Book of the Dead of the Goldworker of Amun, Sobekmose",,,Document,"Papyrus, ink, pigment",ca. 1500-1480 B.C.E.
124471,Totem Pole for Beaver House,Culture,Haida,Architectural Element,Cedar wood,mid-19th century
124847,Seated Buddha Torso,,,Sculpture,Green limestone,late 3rd century
126569,Crest Frontlet,Culture,Haida,Clothing,"Wood, abalone shell, pigment",1850-1875
127838,Standing Durga,,,Sculpture,Bronze,ca. 970
167061,Bowl,,,Ceramic,Stoneware with celadon glaze and inlaid black and white slip,13th century
184288,"Mummy Bandage, Ii-em-hetep, born of Ta-remetj-hepu",,,Document,"Linen, ink",332 B.C.E.-1st century C.E.
185956,"Coffee Urn, ""Coronet Pattern"", Model No. 90121",Designer,Walter von Nessen,Food/Drink,"Chromed metal, Bakelite, glass",1938
185957,"Sugar Bowl and Lid, ""Kent Pattern""",Designer,Walter von Nessen,Food/Drink,"Bakelite, chrome plate",1938
185958,"Creamer, ""Kent Pattern""",Designer,Walter von Nessen,Food/Drink,"Bakelite, chrome plate",1938
185959,"Tray, ""Festivity Pattern""",Designer,Walter von Nessen,Food/Drink,"Metal, fiberboard, plastic",1938
186916,Vessel,Artist,Yoshimi Futamura,Ceramic,Stoneware and porcelain,2008
205200,"""Metamorphic Library Chair"", from ""Repository of Arts, Literature, Fashions Etc.."" Plate 29 (volume I, July 1811)",Publisher,Rudolph Ackermann,Print,Printed paper and watercolor,1811
211479,Jar with Four Lugs,Artist,Shimaoka Tatsuzo,Vessel,Glazed stoneware,ca. 2000
18,Puma,Artist,Alexander Phimister Proctor,Sculpture,Bronze,1909
169,"The Sketcher: A Portrait of Mlle Rosina, a Jewess",Artist,Daniel Huntington,Painting,Oil on canvas,1858
381,Trinity Church and Wall Street,Artist,Bertram Hartman,Painting,Oil on canvas,1929
402,Pitcher,Maker,Unknown,Vessel,Glazed earthenware,ca. 1805
454,Unknown Forces,Artist,Katherine S. Dreier,Painting,Oil on canvas,1926
712,Sauce Boat,Maker,Gousse Bonnin,Food/Drink,Porcelain,1771-1772
1239,Lady with a Mirror,Culture,American,Painting,Oil on wood panel,ca. 1715
1306,Lamp,Maker,Tiffany Studios,Light,"Glass, bronze, and lead",ca. 1910
1472,"Camera, No. 1A Gift Kodak",Manufacturer,Ingraham Company,"Recreation, Toys, Games","Metal, leather",ca.1930
1649,"Desk Lamp, Model #114",Designer,Walter Dorwin Teague,Light,"Aluminum, plastic",ca. 1939
1683,Table Lamp,Manufacturer,Polaroid Corporation,Light,"Plastic, metal, and paper",mid 1930s
1687,"Armchair, Model 670",Designer,Charles Eames,Furniture,"Rosewood, leather, aluminum",designed 1956; manufactured mid-1960s
1727,"""Gem Bamboo Triplicate"" Folding Mirror",Maker,Wiederer and Brother,Furnishing,"Wood (probably maple), glass, metal, printed paper","Patented April 19, 1887"
1733,Beverage Cart,Designer,Gilbert Rohde,Furniture,"Chrome-plated steel, painted wood, cork",ca. 1933
1741,Clock,Designer,Paul T. Frankl,"Time, Calendar","Chrome-plated and enameled metal, glass, plastic",late 1920s
1752,One of a Set of Three Hassocks or Stools (en suite with 85.156.4 Ottoman) Neo-Classical style,Manufacturer,Unknown,Furniture,"White pine, original silk upholstery",ca. 1830
1776,Bureau,Designer,Gilbert Rohde,Furniture,"English sycamore, sucupiro, plywood",1933-1934
1814,One Family House Chair,Maker,Kate Loye,Furniture,"Steel tubing, electrostatic paint, astroturf, plywood",Designed 1984; this example made 1986
1845,"""Skyscraper"" Brush, Apollo Studios Line",Designer,Louis W. Rice,Cosmetic,"Silver-plated metal, natural bristles, gilding, enamel, plastic",ca. 1928
1957,Moose,Artist,Alexander Phimister Proctor,Sculpture,Bronze,ca. 1893
1962,Sketchbook: Overland Trip to Washington Territory,Artist,William Trost Richards,Drawing,Graphite on white paper,September 1885
2006,Rocking Chair,Manufacturer,D. Dexter's Sons,Furniture,"Ebonized wood, gilt decoration, cast iron, original upholstery","patented May 18, 1880"
2008,Folding Armchair (reception) (Renaissance Revival style),Manufacturer,Edward W. Vaill,Furniture,"Walnut, gilt decoration, original upholstery",ca. 1875
2044,Fawn,Artist,Alexander Phimister Proctor,Sculpture,Bronze,1893
2051,Folding Armchair (reception) (Aesthetic Movement style),Maker,Edward W. Vaill,Furniture,"Walnut, original upholstery, metal",ca. 1880
2130,Salt and Pepper Server,Maker,Napier,Food/Drink,Silver-plated brass,ca. 1935
2186,"""Manhattan"" Serving Tray with Liner, Box with Lid",Designer,Norman Bel Geddes,Food/Drink,Chrome-plated metal,1937
2321,Folding Chair,Maker,P.J. Hardy,Furniture,"Ebonized wood, metal, original upholstery",Patented 1867
2355,David Leavitt,Artist,Samuel Lovett Waldo,Painting,Oil on panel,ca. 1820-1825
2356,Maria Clarissa Leavitt,Artist,Samuel Lovett Waldo,Painting,Oil on panel,ca. 1820-1825
2358,Chair,Designer,George Jacob Hunzinger,Furniture,"Ebonized wood, casters, original upholstery",ca. 1869
2732,Southern Landscape (Southern Flood),Artist,Eldzier Cortor,Painting,Tempera and gesso on board,ca. 1944-1945
3062,Dish in the Form of a Trussed Duck,,,Cosmetic,Egyptian alabaster (calcite) or aragonite,"ca. 1336-1327 B.C.E., ca. 1327-1323 B.C.E., or ca. 1323-1295 B.C.E."
3063,Model Food Offering of Trussed Duck,,,Sculpture,Egyptian alabaster,ca. 1539-1075 B.C.E.
3067,Double Kohl Tube with Applicator,,,Container,"Faience (container), bronze (applicator)",ca. 1539-1292 B.C.E.
3094,"Amulet with a Stylized Figure of Heh, the God of Eternity",,,Accessory,Electrum,ca. 1938-1700 B.C.E.
3095,"Amulet with a Stylized Figure of Heh, the God of Eternity",,,Accessory,Electrum,ca. 1938-1700 B.C.E.
3096,"Amulet with a Stylized Figure of Heh, the God of Eternity",,,Accessory,Electrum,ca. 1938-1700 B.C.E.
3104,Ladle or Shallow Pan in Form of Goose's Neck,,,Food/Drink,Bronze,ca. 1479-1400 B.C.E.
3107,Undecorated Kohl Jar with Lid,,,Vessel,Faience,ca. 1539-1292 B.C.E.
3108,Bowl with Lotus Design,,,Vessel,Faience,ca. 1479-1400 B.C.E.
3112,Awl,,,Tool,"Bronze, wood",ca. 1539-1292 B.C.E.
3113,Serrated Tool with Handle,,,Tool,"Bronze, wood",ca. 1539-1292 B.C.E.
3116,Inscribed Headrest,,,Furniture,Wood,ca. 1818-1700 B.C.E.
3117,Reclining Dog,,,Sculpture,Faience,ca. 1938-1700 B.C.E.
3118,Canopic Jar and Cover of Lady Senebtisi,,,Vessel,"Limestone, pigment",ca. 1938-1759 B.C.E.
3121,Canopic Jar of Lady Senebtisi,,,Vessel,"Limestone, pigment",ca. 1938-1759 B.C.E.
3127,Plug,,,Jewelry,Egyptian alabaster,ca. 1478-1425 B.C.E.
3128,Single Strand Necklace with Disk Beads,,,Jewelry,Faience,ca. 1539-1190 B.C.E.
3135,Practice Sketch or Votive Offering,,,Sculpture,"Limestone, pigment",ca. 1295-1070 B.C.E.
3142,Physician's Box,,,Container,Wood (ebony?),ca. 1938-1700 B.C.E. or later
3150,Jar with Was-Scepters and Ankhs,,,Vessel,"Clay, paint",ca. 1426-1390 B.C.E.
3166,Finger Ring with Cartouche of Akhenaten,,,Jewelry,Faience,ca. 1353-1336 B.C.E.
3169,,,,Sculpture,Gold,ca. 1539-1075 B.C.E.
3170,Aten Sun-Disk Inlay,,,Ornament,Faience,ca. 1339-1329 B.C.E.
3175,Male Birth God,,,Accessory,Faience,ca. 1426-1292 B.C.E.
3180,Bottle Imitating Leather Water Container,,,Vessel,Clay,ca. 1479-1400 B.C.E.
3181,Blue-painted Storage Jar,,,Vessel,"Clay, pigment",ca. 1332-1292 B.C.E.
3183,"Tall, Round-Bottomed Jar",,,Vessel,"Clay, pigment",ca. 1478-1390 B.C.E.
3199,Model Rocker,,,Tool,Wood,ca. 1478-1458 B.C.E.
3200,Model Hoe,,,Tool,Wood,ca. 1478-1458 B.C.E.
3206,Head of a Kushite Ruler,Culture,Egyptian,Sculpture,Diorite,ca. 670-653 B.C.E.
3222,The God Nefertem,,,Sculpture,"Bronze, silver",ca. 664-525 B.C.E. or later
3227,Teardrop Beads and Uraeus-Amulet,,,Jewelry,Glass,ca. 1390-1292 B.C.E.
3233,Jar with High Cylindrical Neck,,,Vessel,Egyptian alabaster (calcite),ca. 1426-1353 B.C.E.
3244,Pectoral with Scarab,,,Document,Faience,ca. 1539-1295 B.C.E. or later
3246,Fly Pendants and Cylindrical and Spherical Beads,,,Jewelry,"Gold, lapis lazuli",ca. 1539-1292 B.C.E.
3264,Amphora with Painted Floral Collar,,,Vessel,"Egyptian alabaster, traces of paint",ca. 1292-1075 B.C.E.
3275,Dagger,,,Arms and Armor,"Copper alloy, wood, metal, ivory, and leather",ca. 1539-1292 B.C.E.
3294,Necklace,,,Jewelry,"Amethyst, stone, faience",ca. 1938-1759 B.C.E.
3296,Necklace,,,Jewelry,Faience,ca. 1938-1759 B.C.E.
3297,Necklace,,,Jewelry,"Rock crystal, amethyst, and an unidentified stone",ca. 1938-1759 B.C.E.
3298,Necklace,,,Jewelry,"Carnelian, faience",ca. 1938-1759 B.C.E.
3322,Hieroglyph for the Common Folk of Egypt,,,Architectural Element,Faience,ca. 1539-1070 B.C.E.
3327,Signet Ring Inscribed for Akhenaten,,,Jewelry,Electrum,ca. 1353-1336 B.C.E.
3346,Globular Pitcher with Cover,,,Vessel,Egyptian alabaster (calcite),ca. 1479-1353 B.C.E.
3351,Miniature Table Screen,,,Screen,"Cloisonne enamel on copper alloy, inset carved jade panel and wooden stand",1736-1795
3352,Mounted Scarab of Hatshepsut,,,Document,"Gold, steatite, glaze",ca. 1478-1458 B.C.E.
3363,Game Piece in the Form of a Lioness Wearing a Collar,,,"Recreation, Toys, Games",Ivory,ca. 3000-2675 B.C.E.
3367,Jar with Tubular Handles,,,Vessel,Breccia,ca. 3500-3100 B.C.E.
3392,Game Piece in Form of an Ape,,,"Recreation, Toys, Games",Faience,ca. 1539-1390 B.C.E.
3393,Miniature Bowl,,,Vessel,Ivory or bone,ca. 1938-1700 B.C.E.
3397,"Furniture Leg, Probably from a Bed",,,Furniture,Wood,ca. 3000-2675 B.C.E.
3400,Plaque Inscribed for Amunhotep II,,,Architectural Element,Faience,ca. 1426-1400 B.C.E.
3401,Plaque Inscribed for Amunhotep II,,,Architectural Element,Faience,ca. 1426-1400 B.C.E.
3402,Model Vessel Inscribed for Amunhotep II,,,Vessel,Egyptian alabaster,ca. 1426-1400 B.C.E.
3403,Model Vessel Inscribed for Amunhotep II,,,Vessel,Egyptian alabaster,ca. 1426-1400 B.C.E.
3404,Model Vessel Inscribed for Amunhotep II,,,Vessel,Egyptian alabaster,ca. 1426-1400 B.C.E.
3405,Model Vessel Inscribed for Amunhotep II,,,Vessel,Egyptian alabaster,ca. 1426-1400 B.C.E.
3406,Model Vessel Inscribed for Amunhotep II,,,Vessel,Egyptian alabaster,ca. 1426-1400 B.C.E.
3407,Model Vessel Inscribed for Amunhotep II,,,Vessel,Egyptian alabaster,ca. 1426-1400 B.C.E.
3408,Model Grinder Inscribed for Amunhotep II,,,Model,Egyptian alabaster,ca. 1426-1400 B.C.E.
3409,Model Grinder Inscribed for Amunhotep II,,,Model,Egyptian alabaster,ca. 1426-1400 B.C.E.
3466,Cylindrical Bead,,,Accessory,"Steatite, glaze",ca. 1938-1759 B.C.E.
3476,Bead Inscribed for Treasurer Huy,,,Jewelry,"Steatite, glaze",ca. 1479-1390 B.C.E.
3502,Inlay in the Form of a Cornflower,,,Ornament,Faience,ca. 1390-1352 B.C.E.
3525,Openwork Ring,,,Commemorative,Faience,ca. 1070-718 B.C.E.
3538,Pair of Clappers in Form of Human Hands,,,Musical Instrument,Ivory,ca. 1539-1190 B.C.E.
3540,Cosmetic Container in Form of Trussed Goose,,,Container,Ivory,ca. 1539-1292 B.C.E.
3541,Counterweight of a Necklace,,,Jewelry,"Bronze, gold",ca. 1390-1353 B.C.E.
3545,Statue of Metjetji,,,Sculpture,"Wood, pigment",ca. 2371-2288 B.C.E.
3546,Earrings in Form of Ducks,,,Jewelry,Glass,ca. 1390-1292 B.C.E.
3552,Model Food Offering of Bound Gazelle,,,Sculpture,Steatite,ca. 1479-1292 B.C.E.
3565,Nursing Woman,,,Sculpture,"Limestone, pigment",ca. 1938-after 1630 B.C.E.
3567,Fragment of a Decorated Bowl,,,Vessel,Faience,ca. 1336-1295 B.C.E.
3572,Jar with Monkeys,,,Vessel,Anhydrite,ca. 2008-1759 B.C.E.
3586,Relief of a Queen or Goddess,,,Sculpture,Limestone,ca. 664-610 B.C.E.
3622,Cosmetic Dish in Form of Bound Oryx and Miniature Frog,,,Accessory,Ivory,ca. 1390-1279 B.C.E.
3628,Staff,,,Accessory,"Wood, ebony, animal tissue",ca. 1336-1295 B.C.E. or slightly earlier
3638,Figure of a Pig,,,Sculpture,Faience,ca. 3000-2675 B.C.E.
3642,Figure of a Male Child,,,Sculpture,Limestone,ca. 3000-2675 B.C.E.
3644,Decorated Ostrakon,,,Document,"Limestone, pigment",ca. 1336-1295 B.C.E.
3654,Head of the Goddess Taweret,,,Sculpture,Hematite,ca. 1336-945 B.C.E.
